"N","a","t","phi","phidot","H","w_phi"
-2.88,0.056134762834133725,0.016072320803001798,0.00011634187198863633,0.014450426320414739,41.295934812976384,-0.9999222853797821
-2.87,0.0566989265798469,0.016316302653906992,0.0001198941932922498,0.014669179436175236,40.68043975750186,-0.9999199144654093
-2.86,0.05726876026546736,0.01656397576389985,0.00012355483387016427,0.014891236155841798,40.07413792272596,-0.9999174713011042
-2.85,0.057844320874838456,0.016815396316773562,0.00012732714838565163,0.015116646609205628,39.47689190285373,-0.9999149536834301
-2.84,0.05842566596450083,0.017070620528524257,0.00013121449546319743,0.015345460954536897,38.88856635396159,-0.9999123593500381
-2.83,0.05901285366944784,0.017329705463476567,0.00013522033542280867,0.015577730100780455,38.309027962944846,-0.9999096859699954
-2.82,0.05960594270893937,0.01759271001785546,0.0001393483556017368,0.015813506576526602,37.7381454169364,-0.9999069311316017
-2.81,0.06020499239237354,0.01785969332635268,0.0001436022739493787,0.016052843121005002,37.175789373193524,-0.9999040923564743
-2.8,0.06081006262521797,0.018130714800254612,0.00014798584267235496,0.016295792718001984,36.62183242943972,-0.9999011670975596
-2.79,0.06142121391500013,0.01840583580414061,0.0001525030656555498,0.01654241007643773,36.07614909465428,-0.9998981527192428
-2.78,0.06203850737735832,0.018685118542945564,0.00015715805857968268,0.016792750646739924,35.53861576030933,-0.9998950465066062
-2.77,0.06266200474215315,0.018968625263850968,0.00016195494246505393,0.01704686991667181,35.00911067204307,-0.9998918456721618
-2.76,0.06329176835964073,0.019256419590447046,0.00016689802272920045,0.017304824588235675,34.487513901759556,-0.999888547339083
-2.75,0.06392786120670757,0.019548566855506887,0.00017199184091740556,0.01756667286976768,33.973707320153046,-0.9998851485346144
-2.74,0.06457034689316847,0.019845132498445134,0.00017724095395873918,0.01783247306345513,33.46757456965262,-0.9998816462057154
-2.73,0.06521928966812753,0.020146182668172915,0.00018265001810691353,0.018102284096507024,32.969001037773445,-0.999878037210091
-2.72,0.06587475442640295,0.020451785559508846,0.0001882239828957562,0.018376166696964562,32.47787383087063,-0.9998743182977122
-2.71,0.06653680671501686,0.020762009714080387,0.0001939678495056414,0.018654181897717625,31.994081748296562,-0.9998704861279691
-2.7,0.06720551273974976,0.021076924516173493,0.00019988674311607668,0.018936391472677176,31.517515256946137,-0.9998665372613302
-2.69,0.06788093937176144,0.02139660119354751,0.00020598606643012409,0.019222858815464417,31.048066466186555,-0.9998624681440565
-2.68,0.06856315415427791,0.021721111248062506,0.00021227126420723648,0.01951364756035361,30.58562910317234,-0.9998582751245544
-2.67,0.069252225309346,0.022050527430710985,0.00021874797403679093,0.019808822438033925,30.13009848852927,-0.9998539544384363
-2.66,0.06994822174465536,0.022384924155404374,0.00022542209573424412,0.020108449637507003,29.681371512407665,-0.9998495021997953
-2.65,0.0706512130604296,0.022724376051818873,0.00023229956353490686,0.020412595536901834,29.2393466109027,-0.9998449144167268
-2.64,0.07136126955638605,0.023068959419294443,0.00023938658182853068,0.020721327976923356,28.803923742825358,-0.99984018696921
-2.63,0.0720784622387661,0.023418751931992363,0.00024668958216964395,0.021034716001420626,28.37500436682901,-0.9998353156092031
-2.62,0.07280286282743559,0.023773831545846464,0.0002542150428610711,0.021352828900787574,27.952491418884552,-0.9998302959721015
-2.61,0.0735345437630571,0.02413427825892571,0.0002619697883934073,0.021675737750334587,27.536289290089403,-0.9998251235491429
-2.6,0.07427357821433388,0.024500173097799578,0.0002699608214624569,0.022003514523340567,27.12630380481937,-0.9998197936973077
-2.59,0.07502004008532698,0.024871597577963398,0.00027819522955356937,0.022336231619943418,26.72244219921029,-0.9998143016434807
-2.58,0.07577400402284548,0.02524863550893202,0.00028668050765830606,0.022673963440495482,26.324613099958743,-0.999808642454652
-2.57,0.07653554542391151,0.025631371384042877,0.00029542427505548454,0.023016784980840335,25.93272650345306,-0.9998028110567754
-2.56,0.07730474044329974,0.026019890547373574,0.00030443430570081164,0.0233647719776532,25.546693755215315,-0.9997968022286434
-2.55,0.07808166600115317,0.026414280691377686,0.0003137188108220782,0.023718002209724538,25.166427529649994,-0.999790610574993
-2.54,0.07886639979067495,0.02681462992856071,0.0003232860815136277,0.024076553820658524,24.7918418101096,-0.9997842305509487
-2.53,0.07965902028589804,0.027221027699839327,0.0003331446624158377,0.024440506107482496,24.422851869253105,-0.9997776564440596
-2.52,0.08045960674953244,0.027633565644323354,0.0003433035270335712,0.02480994027315111,24.059374249701097,-0.9997708823556261
