"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-4.901216840801611,0.007437527275659046,0.0008950471541254619,716.946521605443,364224.3508424859,-624.6288598296629,-0.001714956340466628,11044.60780859102,32.92100862713625,0.0005655370935548531
-4.868322768044553,0.007686246100397739,0.0009420998538774328,681.8252916756812,330055.64902186295,-594.5593810566323,-0.0018013913193688396,11045.567501539595,29.82744079723516,0.0005471893624990003
-4.835428695287496,0.007943282347242816,0.000991575457670417,648.4455037194629,299095.0042825178,-565.9371899386203,-0.0018921653047874044,11046.575734464463,27.024573707381638,0.0005294345648304981
-4.802534622530438,0.008208914159638255,0.0010435970660536338,616.7193851653265,271041.0900173865,-538.6926642805471,-0.0019874944579288383,11047.634962452154,24.485090382496168,0.0005122535015003463
-4.7696405497733805,0.00848342898244072,0.0010982939832074276,586.5636933273275,245620.88872382257,-512.7595253399444,-0.0020876055290089514,11048.747764764168,22.18424080710468,0.0004956275945550896
-4.736746477016323,0.008767123872968682,0.0011558020272054133,557.8994739626651,222587.0321200336,-488.07467813674634,-0.0021927363579453464,11049.916851117574,20.099600709735736,0.00047953886703871394
-4.703852404259265,0.009060305822453377,0.0012162638555887626,530.6518332287993,201715.39119458222,-464.57805925767474,-0.002303136396813297,11051.145068283278,18.2108530141928,0.00046396992354506974
-4.670958331502207,0.009363292088239415,0.0012798293069876002,504.74972226179256,182802.89270357523,-442.2124918237433,-0.002419067254809883,11052.435407018018,16.499589827710746,0.0004489039313997862
-4.638064258745149,0.009676410537094535,0.001346655759557625,480.1257336448723,165665.54083704107,-420.92354730091375,-0.002540803266473867,11053.791009346976,14.949133036159463,0.0004343246024513206
-4.605170185988092,0.01,0.0014169085070344838,456.71590908051894,150136.6247754949,-400.6594138455661,-0.0026686320839081575,11055.215176214735,13.544371757802766,0.0004202161754514494
-4.572276113231034,0.010334410638805561,0.0014907611532441504,434.45955762087976,136065.09466929836,-381.37077088808803,-0.002802855293747429,11056.711375523197,12.27161507142534,0.0004065633990061437
-4.539382040473976,0.010680004325145757,0.0015683960259445726,413.2990838502149,123314.09021479428,-363.01066966945405,-0.002943789059604989,11058.28325057607,11.118458583505396,0.0003933515150783905
-4.506487967716918,0.011037155032027573,0.0016500046109122295,393.179825449538,111759.6074883329,-345.5344194570897,-0.0030917647907197747,11059.934628950454,10.073663533986974,0.00038056624302511917
-4.47359389495986,0.011406249238513208,0.0017357880072269454,374.0498996077895,101289.29104669686,-328.8994791775356,-0.0032471298375057723,11061.669531817135,9.127047262407778,0.00036819376415097064
-4.440699822202802,0.011787686347935873,0.0018259574047493738,355.8600577759243,91801.33952321131,-313.06535421440566,-0.0034102482146815445,11063.492183732295,8.269383966857275,0.00035622070676220673
-4.407805749445744,0.012181879120101156,0.0019207345848280097,338.5635482903339,83203.51405488947,-297.993498130835,-0.0035815013526261444,11065.40702292447,7.492314788554373,0.0003446341317045995
-4.374911676688686,0.012589254117941671,0.0020203524453163806,322.11598642019936,75412.239878093,-283.6472190860126,-0.0037612888775686824,11067.418712101817,6.788266345722172,0.00033342151836966423
-4.342017603931629,0.013010252169108314,0.002125055551026225,306.4752314197914,68351.7923381463,-269.99159072547286,-0.003950029421171357,11069.532149805978,6.150376922784639,0.0003225707511541071
-4.3091235311745715,0.013445328842997609,0.002235100710788969,291.6012701915221,61953.55938098507,-256.9933673345686,-0.004148161460008794,11071.752482340231,5.572429595519487,0.00031207010635785103
-4.276229458417514,0.013894954943731377,0.00235075758234563,277.45610718880255,56155.373340257815,-244.62090305395844,-0.004356144185379132,11074.085116300932,5.048791640399746,0.0003019082395064765
-4.243335385660456,0.014359617019622148,0.002472309306334381,264.0036602095817,50900.905508599346,-232.8440749650062,-0.004574458403803226,11076.535731742792,4.574359637602786,0.00029207417308437644
-4.210441312903398,0.014839817889675653,0.0026000531706953695,251.20966175191646,46139.11759363905,-221.6342098617148,-0.004803607468476387,11079.11029601003,4.144509732656352,0.0002825572846653675
-4.17754724014634,0.015336077187700116,0.002734301306863926,239.0415656221403,41823.76471365653,-210.9640145342012,-0.005044118241830966,11081.815078267091,3.755052571967723,0.00027334729542793256
-4.144653167389282,0.015848931924611134,0.0028753814191759533,227.46845850424222,37912.945090055866,-200.80750939676525,-0.005296542089246313,11084.6566647643,3.402192473034053,0.0002644342590426856
-4.111759094632224,0.01637893706954064,0.0030236375489630144,216.46097621600416,34368.69204889232,-191.13996530132314,-0.005561455903803691,11087.641974875647,3.0824904314035164,0.00025580855092005377
-4.078865021875167,0.016926666150378758,0.0031794308748692613,205.9912243933545,31156.60435598641,-181.93784338436993,-0.005839463161825994,11090.77827794773,2.7928306038501303,0.0002474608578065631
-4.045970949118109,0.017492711874398423,0.003343140550977829,196.03270335933567,28245.51128371865,-173.17873780271563,-0.006131195008763738,11094.073211000888,2.5303899411045796,0.00023938216771849082
-4.013076876361051,0.01807768676963434,0.0035151645843904695,186.5602369481185,25607.16914605386,-164.84132122001208,-0.006437311374787971,11097.534797325663,2.292610674179178,0.0002315637602020152
-3.9801828036039932,0.01868222384771037,0.0036959207539608695,177.54990506768397,23215.98634499609,-156.90529291256595,-0.006758502119225482,11101.171466019803,2.077175386136463,0.0002239971969093466
-3.9472887308469353,0.019306977288832503,0.003885847571939128,168.978979797185,21048.774249511647,-149.3513293691224,-0.00709548820271981,11104.992072513463,1.881984426348845,0.0002166743124806676
-3.914394658089878,0.019952623149688795,0.004085405290342001,160.8258648266482,19084.521479686893,-142.16103726521908,-0.007449022885720863,11109.005920132508,1.705135447126846,0.00020958720572204038
-3.88150058533282,0.020619860095022202,0.00429507695392056,153.07003805762554,17304.189396962196,-135.31690869835577,-0.007819892951594201,11113.222782752486,1.544904863278226,0.00020272823106976318
-3.848606512575762,0.02130941015366797,0.004515369501653556,145.69199719370064,15690.526807926588,-128.80227857561715,-0.008208919952295574,11117.652928598389,1.399731053901341,0.00019608999033196578
-3.815712439818704,0.022022019499873754,0.0047468149187507355,138.6732081594373,14227.902076383383,-122.60128405052883,-0.00861696147417491,11122.307145248182,1.268199142696024,0.00018966532469853764
-3.7828183670616466,0.022758459260747883,0.004989971441205256,131.99605619546287,12902.151008029425,-116.69882591083528,-0.009044912421053654,11127.196765900982,1.149027208459647,0.0001834473070107715
-3.7499242943045887,0.02351952635070959,0.00524542481498785,125.64379948594848,11700.439025783537,-111.08053182356873,-0.009493706311257843,11132.333696973834,1.041053791374711,0.00017742923428238868
-3.717030221547531,0.02430604433384409,0.005513789612027006,119.60052518280831,10611.13629305037,-105.73272134824096,-0.009964316584783599,11137.7304470943,0.9432265733232161,0.00017160462046388416
-3.684136148790473,0.0251188643150958,0.005795710605168694,113.85110769852726,9623.704568371793,-100.64237263324539,-0.010457757916219241,11143.400157559463,0.8545921219052046,0.00016596718944239443
-3.6512420760334154,0.025958865861263943,0.006091864204355635,108.38116914666853,8728.59468922844,-95.79709071461299,-0.010975087528446224,11149.356634335485,0.7742865982058381,0.00016051086826954596
-3.6183480032763575,0.026826957952797256,0.0064029599563090065,103.17704181583579,7917.153686323204,-91.18507734013046,-0.011517406501486978,11155.61438167569,0.7015273377481267,0.00015522978060998995
-3.5854539305192996,0.027724079967417745,0.00672974211003439,98.22573256919682,7181.540623515752,-86.79510224551348,-0.01208586107015887,11162.18863743897,0.6356052225785724,0.00015011824040356766
-3.5525598577622417,0.028651202696637807,0.007072991250507764,93.51488906763825,6514.650343596754,-82.61647581283704,-0.012681643903427712,11169.09541019458,0.5758777701434384,0.0001451707457342831
-3.5196657850051842,0.029609329396270836,0.007433526002925837,89.03276772023949,5910.0443771213995,-78.63902304476876,-0.013305995357529177,11176.351518203615,0.5217628715992512,0.00014038197289948252
-3.4867717122481263,0.030599496872071957,0.007812204809927051,84.76820327104649,5361.888341314263,-74.85305879133657,-0.013960204694040532,11183.974630372146,0.472733118530586,0.00013574677067285755
-3.4538776394910684,0.03162277660168379,0.00820992778420424,80.71057993611434,4864.895219292116,-71.24936416899573,-0.014645611253136733,11191.98330927568,0.42831066278285046,0.000131260154755098
-3.420983566734011,0.03268027589410126,0.008627638638936307,76.84980400948949,4414.273967143896,-67.81916411465036,-0.015363605571253297,11200.397056359772,0.3880625593135643,0.00012691730240622237
-3.388089493976953,0.033773139087910097,0.009066326698463195,73.17627786123468,4005.6829483162173,-64.55410602003687,-0.016115630431303127,11209.236359426794,0.3515965466731728,0.0001227135472538103
-3.355195421219895,0.034902548789595804,0.009527028991614828,69.68087525477956,3635.18774178437,-61.446239394497184,-0.01690318183245624,11218.522742524536,0.3185572239916039,0.00011864437427154977
-3.322301348462837,0.036069727153262905,0.010010832430079164,66.3549179148214,3299.222913100966,-58.487996506666214,-0.017727809865291242,11228.2788183581,0.288622587211158,0.00011470541492269412
