x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
2.755000000000000e1,-1.846183776939730e-1,7.066959334413597e-1,2.497095711712774e-1,2.904288332068309e-4,2.500000000044842e-1,2.494191423380706e-1,9.976765693343871e-1,3.270193094542519e-1,1.793676318584403e-11
2.760000000000000e1,-1.492770823720216e-1,7.069311985901113e-1,2.498758597700257e-1,1.241402344872854e-4,2.500000000045130e-1,2.497517195355384e-1,9.990068781241196e-1,3.282354732482284e-1,1.805200433580012e-11
2.765000000000000e1,-1.139272379507038e-1,7.070472172317446e-1,2.499578836975769e-1,4.211630698592143e-5,2.500000000045629e-1,2.499157673905910e-1,9.996630695441187e-1,3.294490347321088e-1,1.825140039102280e-11
2.770000000000000e1,-7.857351880972323e-2,7.070933051014222e-1,2.499904710596265e-1,9.528944998299471e-6,2.500000000046248e-1,2.499809421146282e-1,9.999237684400150e-1,3.306590426459355e-1,1.849920217011913e-11
2.775000000000000e1,-4.321846416581793e-2,7.071055477110898e-1,2.499991278019001e-1,8.722024990450040e-7,2.500000000043992e-1,2.499982555994011e-1,9.999930223800076e-1,3.318649874256905e-1,1.759681289570381e-11
2.780000000000000e1,-7.863140181332086e-3,7.071067798412126e-1,2.499999990487046e-1,9.557054913646160e-10,2.500000000044101e-1,2.499999980929991e-1,9.999999923543560e-1,3.330666628212688e-1,1.764033363826911e-11
2.785000000000000e1,2.749219730478547e-2,7.071065792199398e-1,2.499998571880625e-1,1.428163129979760e-7,2.500000000043755e-1,2.499997143717495e-1,9.999988574694960e-1,3.342640286418984e-1,1.750199984940082e-11
2.790000000000000e1,6.284743988649379e-2,7.071012654111484e-1,2.499960997730236e-1,3.900231392995833e-6,2.500000000044166e-1,2.499921995416307e-1,9.999687981488566e-1,3.354570748769651e-1,1.766653490165027e-11
2.795000000000000e1,9.820196368569427e-2,7.070739001340486e-1,2.499767501253873e-1,2.324987902409519e-5,2.500000000044114e-1,2.499535002463631e-1,9.998140009678105e-1,3.366456872645883e-1,1.764544066418239e-11
2.800000000000000e1,1.335539665180395e-1,7.069942904675085e-1,2.499204633768279e-1,7.953662758210490e-5,2.500000000044100e-1,2.498409267492458e-1,9.993637069793544e-1,3.378295143479972e-1,1.763988954905926e-11
2.805000000000000e1,1.688998054192759e-1,7.068190016041145e-1,2.497965505143186e-1,2.034494900598947e-4,2.500000000043785e-1,2.495931010242587e-1,9.983724040795493e-1,3.390078361682850e-1,1.751399025806677e-11
2.810000000000000e1,2.042333352845216e-1,7.064913910316600e-1,2.495650428009250e-1,4.349572034541348e-4,2.500000000043791e-1,2.491300855974709e-1,9.965203423724279e-1,3.401794349886724e-1,1.751643274872094e-11
2.815000000000000e1,2.395452500969658e-1,7.059416811923195e-1,2.491768286223192e-1,8.231713820830554e-4,2.500000000044023e-1,2.483536572402362e-1,9.934146289434516e-1,3.413424688264508e-1,1.760902534897468e-11
2.820000000000000e1,2.748224292022222e-1,7.050870927630877e-1,2.485739041905515e-1,1.426095813867324e-3,2.500000000044189e-1,2.471478083766842e-1,9.885912334892629e-1,3.424943490789152e-1,1.767541668584727e-11
2.825000000000000e1,3.100472923162885e-1,7.038320656187775e-1,2.476897882965976e-1,2.310211707827923e-3,2.500000000044255e-1,2.453795765887697e-1,9.815183063377038e-1,3.436316241600383e-1,1.770206203843827e-11
2.830000000000000e1,3.451971684242863e-1,7.020685991476320e-1,2.464501589545592e-1,3.549841049846039e-3,2.500000000044052e-1,2.429003179047131e-1,9.716012716017322e-1,3.447498718010448e-1,1.762079371303571e-11
2.835000000000000e1,3.802436854165444e-1,6.996767476920492e-1,2.447737756304618e-1,5.226224373943674e-3,2.500000000044054e-1,2.395475512565181e-1,9.581902050091874e-1,3.458436034880015e-1,1.762168189145541e-11
