x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
1.900000000000000e0,-3.232895666915546e-1,-9.463000869294045e-1,4.477419272612992e-1,5.225807196580657e-2,4.999999992271058e-1,3.954838552954927e-1,7.909677118136541e-1,1.608810328080174e-1,-1.545788386181357e-9
1.950000000000000e0,-3.701808311405773e-1,-9.289597142608998e-1,4.314830753598464e-1,6.851692387196431e-2,4.999999992318107e-1,3.629661514878820e-1,7.259323040910709e-1,1.762033142219750e-1,-1.536378579913844e-9
2.000000000000000e0,-4.161468362998733e-1,-9.092974261024834e-1,4.134109045583007e-1,8.658909468119678e-2,4.999999992394975e-1,3.268218098771039e-1,6.536436207484030e-1,1.890429304269190e-1,-1.521005099647255e-9
2.050000000000000e0,-4.610726910935650e-1,-8.873623679278720e-1,3.937059860072801e-1,1.062940132361310e-1,4.999999992434111e-1,2.874119727711490e-1,5.748239464121090e-1,1.994134390404150e-1,-1.513177805279042e-9
2.100000000000000e0,-5.048461042818160e-1,-8.632093659633854e-1,3.725652047434549e-1,1.274347945042631e-1,4.999999992477180e-1,2.451304102391918e-1,4.902608212160124e-1,2.073450805826447e-1,-1.504564028920186e-9
2.150000000000000e0,-5.473576651293530e-1,-8.368987901374703e-1,3.501997924667807e-1,1.498002067879285e-1,4.999999992547092e-1,2.003995856788522e-1,4.007991719551283e-1,2.128842646757360e-1,-1.490581547081149e-9
2.200000000000000e0,-5.885011168730018e-1,-8.084964031824025e-1,3.268332169794410e-1,1.731667822803852e-1,4.999999992598262e-1,1.536664346990557e-1,3.073328698530709e-1,2.160929409536533e-1,-1.480347622262457e-9
2.250000000000000e0,-6.281736223096192e-1,-7.780731962752715e-1,3.026989493810086e-1,1.973010498827940e-1,4.999999992638026e-1,1.053978994982145e-1,2.107957993068037e-1,2.170478608120152e-1,-1.472394872692462e-9
2.300000000000000e0,-6.662760208383638e-1,-7.457052115920701e-1,2.780381312977870e-1,2.219618679721019e-1,4.999999992698889e-1,5.607626332568516e-2,1.121525268151379e-1,2.158397369478621e-1,-1.460222165405867e-9
2.350000000000000e0,-7.027130763059191e-1,-7.114733522353107e-1,2.530971654704753e-1,2.469028338056642e-1,4.999999992761395e-1,6.194331664811065e-3,1.238866334755746e-2,2.125723083975107e-1,-1.447721054148587e-9
2.400000000000000e0,-7.373937150461485e-1,-6.754631800217875e-1,2.281252537825729e-1,2.718747454947802e-1,4.999999992773531e-1,-4.374949171220732e-2,-8.749898355087639e-2,2.073613194704447e-1,-1.445293884572152e-9
2.450000000000000e0,-7.702312535259915e-1,-6.377647016294277e-1,2.033719073222365e-1,2.966280919541101e-1,4.999999992763465e-1,-9.325618463187366e-2,-1.865123695336880e-1,2.003334215926339e-1,-1.447306940960402e-9
2.500000000000000e0,-8.011436150015492e-1,-5.984721436245183e-1,1.790844533472630e-1,3.209155459288752e-1,4.999999992761383e-1,-1.418310925816122e-1,-2.836621855738888e-1,1.916250076097055e-1,-1.447723496639242e-9
2.550000000000000e0,-8.300535346708993e-1,-5.576837169373192e-1,1.555055640685120e-1,3.444944352098269e-1,4.999999992783388e-1,-1.889888711413149e-1,-3.779777428281735e-1,1.813809885545930e-1,-1.443322350525023e-9
2.600000000000000e0,-8.568887527879174e-1,-5.155013713932471e-1,1.328708319541593e-1,3.671291673272163e-1,4.999999992813756e-1,-2.342583353730571e-1,-4.685166714194892e-1,1.697535232530848e-1,-1.437248764446508e-9
2.650000000000000e0,-8.815821952792152e-1,-4.720305408888213e-1,1.114064157658966e-1,3.885935835166602e-1,4.999999992825568e-1,-2.771871677507636e-1,-5.543743362969914e-1,1.569007114207957e-1,-1.434886431894711e-9
2.700000000000000e0,-9.040721414045763e-1,-4.273798798572215e-1,9.132678085338655e-2,4.086732184319281e-1,4.999999992853146e-1,-3.173464375785415e-1,-6.346928760642946e-1,1.429852610948431e-1,-1.429370843908373e-9
