x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
4.300000000000000e0,-4.015805902642728e-1,6.545401895964720e-1,8.063348523850088e-2,1.842928819344352e-2,7.536029630284163e-1,5.554774161645276e-1,7.370955840357837e-1,2.055257744391725e-1,1.053379095804793e-1,5.125289510180396e-1,7.562644755090198e-1,1.149740311352700e-1,1.287614933557101e-1,-3.729900832638577e-10
4.400000000000000e0,-2.855984375495266e-1,5.671414834041787e-1,4.078323376536541e-2,1.159529247398366e-3,6.090842464169425e-1,5.251987203914149e-1,8.622759880607640e-1,2.055257744351258e-1,8.724607503782036e-2,4.245018673575639e-1,7.122509336787819e-1,6.807616513432374e-2,2.196729011868943e-1,-3.926794445163750e-10
4.500000000000000e0,-1.841508844425980e-1,1.862166486294266e-1,1.695577412049554e-2,1.994320114996765e-1,4.026044342495986e-1,-3.017113699074553e-2,-7.493990235597016e-2,2.055257744310803e-1,1.160676096638604e-1,5.647350556646693e-1,7.823675278323347e-1,3.237101937408505e-2,1.852614527935803e-1,-4.123629215868618e-10
4.600000000000000e0,-1.150778606074791e-1,6.060145117940471e-1,6.621457000997190e-3,1.449686623165743e-1,7.576046311116185e-1,4.544243924764756e-1,5.998173371903860e-1,2.055257744283024e-1,1.767334872416563e-1,8.599091171570297e-1,9.299545585785148e-1,9.093054156948296e-3,6.095238726453697e-2,-4.258793318001608e-10
4.700000000000000e0,-4.733887824104625e-2,6.476427240191187e-1,1.120484696560301e-3,6.674922968962328e-2,7.155124384053023e-1,5.797730096329351e-1,8.102906092381897e-1,2.055257744424274e-1,1.313333663799388e-1,6.390116603926405e-1,8.195058301963202e-1,8.905001800109850e-4,1.796036696236689e-1,-3.571529738621848e-10
4.800000000000000e0,7.770271419846424e-2,6.895117779999195e-1,3.018855896904108e-3,1.523280255043570e-3,6.940539141518671e-1,6.849696418479718e-1,9.869112872664997e-1,2.055257744550984e-1,1.743950150241866e-1,8.485311172603658e-1,9.242655586301829e-1,5.579407049368318e-3,7.015503432044877e-2,-2.955015121486326e-10
4.900000000000000e0,2.065591326646534e-1,9.303811192201265e-1,2.133333764358694e-2,2.003790748377438e-4,9.519148359385511e-1,9.088474025017018e-1,9.547570519852373e-1,2.055257744626816e-1,1.353161939261162e-1,6.583903857308482e-1,8.291951928654241e-1,2.542710677442151e-2,1.453777003601544e-1,-2.586048042374500e-10
5.000000000000000e0,2.962596817893979e-1,1.647103535356370e-1,4.388489952697766e-2,4.224413965192675e-1,6.310366495818821e-1,-3.016159425106082e-1,-4.779689780466088e-1,2.055257744683116e-1,1.008846697844873e-1,4.908614019116220e-1,7.454307009558110e-1,5.809181292121974e-2,1.964774861229693e-1,-2.312117164393612e-10
5.100000000000000e0,3.765595112661462e-1,2.639408282243188e-1,7.089853276249945e-2,3.353898231349808e-1,6.702291841217991e-1,-1.423475276731614e-1,-2.123863464102646e-1,2.055257744697570e-1,9.988634593590190e-2,4.860039875465844e-1,7.430019937732922e-1,1.022886977993506e-1,1.547093084273571e-1,-2.241788976675707e-10
5.200000000000000e0,4.374993312639677e-1,6.499592064553188e-1,9.570283242820948e-2,2.387441686249117e-2,7.695364557460194e-1,5.303819571646182e-1,6.892226524218983e-1,2.055257744812770e-1,5.872377013446274e-2,2.857246020975942e-1,6.428623010487970e-1,1.576312037653748e-1,1.995064951858280e-1,-1.681277339571352e-10
5.300000000000000e0,5.406396236936317e-1,6.989615410428904e-1,1.461456013537959e-1,2.590083491275463e-3,8.476972258879617e-1,5.502258561978192e-1,6.490829973183625e-1,2.055257744754917e-1,1.028577180057656e-1,5.004614057203375e-1,7.502307028601688e-1,2.196100724169497e-1,3.015922472288151e-2,-1.962764395457839e-10
5.400000000000000e0,6.506493444859466e-1,4.181962570270566e-1,2.116722847399960e-1,1.954403577507613e-3,6.318229453445603e-1,2.045695687095530e-1,3.237767324166937e-1,2.055257744695988e-1,2.456280683101699e-2,1.195120509551968e-1,5.597560254775984e-1,2.883563202252030e-1,1.518876542971986e-1,-2.249485042682409e-10
5.500000000000000e0,7.098383904145733e-1,6.411102782949159e-2,2.519352702531761e-1,4.438117929672002e-1,7.598580910498678e-1,-6.316360353908848e-1,-8.312552604634066e-1,2.055257744638327e-1,-6.441334826362360e-3,-3.134076416043804e-2,4.843296179197810e-1,3.592773696481608e-1,1.563930124320582e-1,-2.530040621451235e-10
5.600000000000000e0,7.572442487878855e-1,3.723762571166343e-2,2.867094261611646e-1,1.187407928128576e-1,4.426878446856856e-1,-3.682125932623587e-1,-8.317657638054071e-1,2.055257744649109e-1,-1.451357703984181e-2,-7.061682203912427e-2,4.646915889804379e-1,4.299350305276657e-1,1.053733804918965e-1,-2.477577032422573e-10
5.700000000000000e0,8.005994052624706e-1,1.259271948257574e-1,3.204797038533109e-1,2.565536437449545e-2,4.720622630535637e-1,-2.202078734020489e-1,-4.664805696977785e-1,2.055257744677956e-1,-9.492657316130974e-2,-4.618718669574168e-1,2.690640665212917e-1,4.986136583636361e-1,2.323222751150724e-1,-2.337220417203412e-10
5.800000000000000e0,8.675882067920695e-1,1.823777456517456e-1,3.763546482823394e-1,9.000368013126941e-2,6.487360740653543e-1,-2.839805827618632e-1,-4.377443988620475e-1,2.055257744719769e-1,-7.448891593334153e-2,-3.624310192953340e-1,3.187844903523330e-1,5.603075280287980e-1,1.209079816188690e-1,-2.133776488832950e-10
